CountryWorldscopeList,CompanyNameOfficial,CompanyNameOfficialSource,CompanyNameOfficialNotes,ISIN,ISINSource,ISINNotes,WorldscopePermanentID,AccountingPeriodEndDate,CountryOfIncorporation,CountryOfIncorporationSource,CountryOfIncorporationNotes,Consolidation,ConsolidationSource,ConsolidationNotes,AccountingStandards,AccountingStandardsSource,AccountingStandardsNotes,ListingStatus,ListingStatusSource,ListingStatusNotes,ListingPrimary,ListingPrimarySource,ListingPrimaryNotes,SampleNoIFRSGermany2012,SampleNoIFRSGermany2020,SampleGermany2020,SampleNoIFRSUK2007,SampleNoIFRSUK2012,SampleNoIFRSUK2020
Germany,,,,,,,C280DIG00,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,,,CS: 2012 AR not in registry,,,,C280L3670,31/12/2012,Germany,1,,c,,CS: voluntary consolidated FS,Local,,,2,2,,,,,1,,,,,
Germany,PATRIZIA AG,1,,DE000PAT1AG3,1,,C280S3B00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,ecotel communication ag,1,,DE0005854343,1,,C280HSC00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C280AOC00,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,Wacker Chemie AG,1,,DE000WCH8881,1,,C28075140,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C280Q3B00,30/09/2013,Germany,1,,c,,,Local,,,2,2,"CS: ""Segment des Entry Standard im Freiverkehr (Open Market)""",,,,1,,,,,
Germany,,,,,,,C280D5B00,31/12/2012,Germany,1,,c,,CS: consolidated FS published but not available on registry; total assets in WS is from consolidated FS,Local,,,2,2,"CS: ""Entry Standard""",,,,1,,,,,
Germany,Bio-Gate AG,1,,DE000BGAG981,1,,C280D5B00,31/12/2020,Germany,1,,c,1,CS: voluntary consolidated FS published on company website but not on registry; total assets in WS is from consolidated FS,Local,1,,2,2,,MUN Open Market,2,,,1,1,,,
Germany,SFC Energy AG,1,,DE0007568578,1,,C280LSC00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,MBB SE,1,,DE000A0ETBQ4,1,,C280HVC00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Viscom AG,1,,DE0007846867,1,,C280GQC00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Deutsche Wohnen SE,1,,DE000A0HN5C6,1,,C280F0480,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Gateway Real Estate AG,1,,DE000A0JJTG7,1,,C280MUC00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,YOC AG,1,,DE0005932735,1,,C280HQC00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,CS: 2012 AR not in registry,,,,C280669F0,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,EQS Group AG,1,,DE0005494165,1,,C280IIB00,31/12/2020,Germany,1,,c,1,,IFRS,1,,2,1,,FRA Scale,1,CS: also MUN m:access,,,1,,,
Germany,,,CS: 2012 AR not in registry,,,,C280YIB00,31/12/2012,Germany,1,,u,,,Local,9,"CS: 2012 AR on company website does not contain notes, but 2011 AR is Local and 2011 total assets in 2011 AR and 2012 AR are the same",,,,,,,1,,,,,
Germany,Lena Beteiligungs AG,2,CS: 2020 AR not in registry,DE000A3E5A26,1,,C280YIB00,31/12/2020,Germany,1,,u,1,,Local,1,,2,1,,HAM High Risk Market,1,,,1,1,,,
Germany,Klöckner & Co SE,1,,DE000KC01000,1,,C2800YB00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C2803BC00,31/12/2012,Germany,1,,c + c,,,Local + IFRS,,"CS: Local published in registry on 04/06/2013 (IFRS too costly: ""nicht tolerierbaren wirtschaftlichen Belastungen für den Konzern""); IFRS published in registry on 12/06/2014; WS's total assets are from the Local FS",1,3,CS: source: DGAP,,,,1,,,,,
Germany,,,,,,,C280ILB00,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,ENDOR Aktiengesellschaft,1,,DE0005491666,2,,C280ILB00,31/12/2020,Germany,1,,u,1,,Local,1,,2,2,,MUN Open Market,2,,,1,1,,,
Germany,artec technologies AG,1,,DE0005209589,1,,C280JNB00,31/12/2020,Germany,1,,u,1,,Local,1,,2,1,,FRA Scale,1,CS: also MUN m:access,,1,1,,,
